world_x,world_y,world_z,rx,ry,rz
131.86,-913.00,157.28,119.07,0.00,-34.85
131.13,-914.59,153.72,119.96,0.00,-34.61
131.41,-918.52,151.30,123.33,0.00,-30.45
128.89,-915.09,159.28,117.87,0.00,-34.98
127.04,-911.53,168.15,114.11,0.00,-36.69
127.71,-914.76,162.03,113.90,0.00,-37.08
127.08,-915.93,160.72,115.46,0.00,-36.83
131.18,-923.64,139.90,122.79,0.00,-30.28
136.85,-930.73,128.78,138.15,0.00,-9.39
136.82,-931.50,128.05,137.75,0.00,-9.99
131.31,-921.86,149.63,127.04,0.00,-24.89
139.39,-937.56,124.79,139.31,0.00,-6.67
134.77,-928.51,143.11,132.63,0.00,-18.07
135.19,-926.83,145.56,131.44,0.00,-19.51
131.38,-921.30,157.07,122.45,0.00,-29.39
131.74,-923.40,154.02,125.26,0.00,-26.20
128.20,-916.27,166.73,111.94,0.00,-37.69
132.04,-927.00,145.47,122.84,0.00,-30.15
131.96,-923.27,153.21,125.33,0.00,-27.65
132.12,-923.64,152.50,126.41,0.00,-26.30
133.40,-925.34,146.16,131.62,0.00,-20.89
132.26,-920.94,153.75,125.20,0.00,-27.49
133.63,-924.33,147.06,130.65,0.00,-22.45
138.04,-932.38,131.72,138.01,0.00,-10.32
136.65,-928.43,138.40,135.33,0.00,-15.31
132.20,-921.55,150.43,128.45,0.00,-24.93
133.62,-923.20,147.30,131.00,0.00,-21.06
129.67,-916.80,157.53,122.12,0.00,-30.59
136.74,-928.23,132.91,136.13,0.00,-14.17
137.80,-930.38,126.59,135.07,0.00,-15.67
137.96,-928.33,127.02,133.70,0.00,-17.36
134.09,-922.99,135.50,125.29,0.00,-26.75
137.65,-926.77,130.01,131.69,0.00,-19.06
133.86,-919.87,138.71,121.95,0.00,-31.13
135.15,-919.34,142.06,124.43,0.00,-27.89
131.21,-912.83,153.31,110.59,0.00,-39.70
134.89,-917.79,145.45,123.15,0.00,-29.19
136.41,-921.59,137.69,128.94,0.00,-23.40
130.71,-909.40,159.47,106.00,0.00,-42.31
130.80,-909.36,159.83,108.19,0.00,-41.44
134.43,-914.59,150.74,118.50,0.00,-33.38
133.40,-913.14,154.78,116.24,0.00,-35.97
141.70,-926.54,129.76,134.42,0.00,-16.25
137.79,-922.06,139.34,128.65,0.00,-24.30
138.25,-924.55,135.07,130.32,0.00,-22.97
134.85,-916.94,149.08,119.23,0.00,-34.50
136.58,-921.58,140.84,125.79,0.00,-27.92
134.23,-917.95,148.92,118.95,0.00,-33.90
135.81,-917.49,148.58,123.59,0.00,-29.31
135.59,-919.41,146.19,121.92,0.00,-29.85
