X,Y,Z,RX,RY,RZ
344.71,-466.40,161.08,100.31,11.33,-9.28
344.60,-466.13,161.11,100.34,11.35,-9.32
344.48,-465.87,161.14,100.38,11.37,-9.36
344.37,-465.60,161.17,100.42,11.38,-9.40
344.26,-465.34,161.20,100.46,11.40,-9.44
344.15,-465.07,161.24,100.50,11.42,-9.49
344.04,-464.81,161.27,100.54,11.44,-9.53
343.92,-464.54,161.30,100.57,11.45,-9.57
343.81,-464.27,161.33,100.61,11.47,-9.61
343.70,-464.01,161.36,100.65,11.49,-9.65
343.59,-463.74,161.39,100.69,11.51,-9.70
343.47,-463.48,161.42,100.73,11.52,-9.74
343.36,-463.21,161.46,100.76,11.54,-9.78
343.25,-462.95,161.49,100.80,11.56,-9.82
343.14,-462.68,161.52,100.84,11.58,-9.86
343.03,-462.42,161.55,100.88,11.59,-9.91
342.91,-462.15,161.58,100.92,11.61,-9.95
342.80,-461.89,161.61,100.95,11.63,-9.99
342.69,-461.62,161.64,100.99,11.65,-10.03
342.57,-461.36,161.67,101.03,11.66,-10.07
342.44,-461.10,161.70,101.07,11.68,-10.12
342.32,-460.84,161.73,101.11,11.70,-10.16
342.20,-460.58,161.76,101.15,11.72,-10.20
342.08,-460.32,161.78,101.19,11.73,-10.24
341.95,-460.05,161.81,101.23,11.75,-10.28
341.83,-459.79,161.84,101.27,11.77,-10.32
341.71,-459.53,161.87,101.32,11.78,-10.37
341.58,-459.27,161.89,101.36,11.80,-10.41
341.46,-459.01,161.92,101.40,11.82,-10.45
341.34,-458.75,161.95,101.44,11.84,-10.49
341.22,-458.49,161.98,101.48,11.85,-10.53
341.09,-458.23,162.01,101.52,11.87,-10.57
340.97,-457.97,162.03,101.56,11.89,-10.62
340.85,-457.70,162.06,101.60,11.90,-10.66
340.73,-457.44,162.09,101.64,11.92,-10.70
340.60,-457.18,162.12,101.68,11.94,-10.74
340.48,-456.92,162.15,101.72,11.96,-10.78
340.36,-456.66,162.17,101.76,11.97,-10.82
340.24,-456.40,162.20,101.80,11.99,-10.87
340.11,-456.14,162.23,101.84,12.01,-10.91
339.99,-455.88,162.26,101.88,12.02,-10.95
339.87,-455.62,162.29,101.92,12.04,-10.99
339.74,-455.36,162.31,101.96,12.06,-11.03
339.62,-455.09,162.34,102.00,12.08,-11.07
339.50,-454.83,162.37,102.04,12.09,-11.12
339.38,-454.57,162.40,102.08,12.11,-11.16
339.24,-454.31,162.43,102.13,12.13,-11.20
339.10,-454.05,162.45,102.17,12.14,-11.24
338.96,-453.78,162.48,102.21,12.16,-11.28
338.82,-453.52,162.51,102.26,12.18,-11.32
338.68,-453.25,162.54,102.30,12.20,-11.37
338.55,-452.99,162.57,102.34,12.21,-11.41
338.41,-452.73,162.60,102.39,12.23,-11.45
338.27,-452.46,162.63,102.43,12.25,-11.49
338.13,-452.20,162.65,102.47,12.27,-11.53
337.99,-451.94,162.68,102.52,12.28,-11.58
337.85,-451.67,162.71,102.56,12.30,-11.62
337.72,-451.41,162.74,102.60,12.32,-11.66
337.58,-451.15,162.77,102.65,12.33,-11.70
337.44,-450.88,162.80,102.69,12.35,-11.74
337.30,-450.62,162.83,102.73,12.37,-11.78
337.16,-450.36,162.86,102.78,12.39,-11.83
337.02,-450.09,162.88,102.82,12.40,-11.87
336.88,-449.83,162.91,102.86,12.42,-11.91
336.75,-449.57,162.94,102.91,12.44,-11.95
336.61,-449.30,162.97,102.95,12.46,-11.99
336.47,-449.04,163.00,102.99,12.47,-12.04
336.33,-448.78,163.03,103.04,12.49,-12.08
336.19,-448.51,163.06,103.08,12.51,-12.12
336.05,-448.25,163.08,103.12,12.52,-12.16
335.91,-447.99,163.11,103.17,12.54,-12.20
335.78,-447.72,163.14,103.21,12.56,-12.25
335.63,-447.47,163.17,103.25,12.58,-12.28
335.48,-447.22,163.20,103.30,12.59,-12.32
335.33,-446.96,163.24,103.34,12.61,-12.36
335.18,-446.71,163.27,103.38,12.63,-12.40
335.03,-446.46,163.30,103.43,12.64,-12.44
334.88,-446.21,163.33,103.47,12.66,-12.48
334.73,-445.95,163.36,103.52,12.68,-12.52
334.58,-445.70,163.39,103.56,12.69,-12.56
334.43,-445.45,163.43,103.60,12.71,-12.60
334.28,-445.20,163.46,103.65,12.72,-12.64
334.13,-444.94,163.49,103.69,12.74,-12.68
333.98,-444.69,163.52,103.73,12.76,-12.72
333.83,-444.44,163.55,103.78,12.77,-12.76
333.68,-444.18,163.58,103.82,12.79,-12.80
333.53,-443.93,163.62,103.87,12.81,-12.84
333.38,-443.68,163.65,103.91,12.82,-12.88
333.23,-443.43,163.68,103.95,12.84,-12.92
333.08,-443.17,163.71,104.00,12.86,-12.96
332.93,-442.92,163.74,104.04,12.87,-13.00
332.78,-442.67,163.77,104.08,12.89,-13.04
332.63,-442.42,163.80,104.13,12.91,-13.08
332.48,-442.16,163.84,104.17,12.92,-13.12
332.33,-441.91,163.87,104.22,12.94,-13.16
332.18,-441.66,163.90,104.26,12.96,-13.20
332.03,-441.41,163.93,104.30,12.97,-13.24
331.88,-441.15,163.96,104.35,12.99,-13.27
331.72,-440.91,164.00,104.39,13.01,-13.31
331.56,-440.67,164.04,104.43,13.02,-13.35
331.40,-440.44,164.08,104.48,13.04,-13.38
331.23,-440.20,164.11,104.52,13.05,-13.42
331.07,-439.96,164.15,104.56,13.07,-13.46
330.91,-439.72,164.19,104.61,13.08,-13.49
330.75,-439.48,164.23,104.65,13.10,-13.53
330.59,-439.24,164.27,104.69,13.12,-13.57
330.43,-439.00,164.30,104.74,13.13,-13.60
330.27,-438.77,164.34,104.78,13.15,-13.64
330.10,-438.53,164.38,104.82,13.16,-13.68
329.94,-438.29,164.42,104.87,13.18,-13.71
329.78,-438.05,164.45,104.91,13.19,-13.75
329.62,-437.81,164.49,104.95,13.21,-13.79
329.46,-437.57,164.53,105.00,13.23,-13.82
329.30,-437.33,164.57,105.04,13.24,-13.86
329.13,-437.09,164.61,105.08,13.26,-13.90
328.97,-436.86,164.64,105.13,13.27,-13.93
328.81,-436.62,164.68,105.17,13.29,-13.97
328.65,-436.38,164.72,105.21,13.30,-14.00
328.49,-436.14,164.76,105.26,13.32,-14.04
328.33,-435.90,164.79,105.30,13.34,-14.08
328.17,-435.66,164.83,105.34,13.35,-14.11
328.00,-435.42,164.87,105.39,13.37,-14.15
327.84,-435.18,164.91,105.43,13.38,-14.19
327.68,-434.95,164.95,105.47,13.40,-14.22
327.50,-434.72,164.99,105.52,13.41,-14.26
327.32,-434.49,165.04,105.56,13.43,-14.29
327.14,-434.25,165.09,105.60,13.44,-14.32
326.96,-434.02,165.14,105.65,13.46,-14.36
326.78,-433.79,165.19,105.69,13.48,-14.39
326.60,-433.56,165.24,105.73,13.49,-14.43
326.42,-433.33,165.29,105.78,13.51,-14.46
326.24,-433.10,165.34,105.82,13.52,-14.49
326.06,-432.87,165.39,105.86,13.54,-14.53
325.88,-432.64,165.44,105.91,13.55,-14.56
325.70,-432.41,165.49,105.95,13.57,-14.59
325.52,-432.18,165.54,105.99,13.58,-14.63
325.34,-431.95,165.58,106.04,13.60,-14.66
325.16,-431.72,165.63,106.08,13.61,-14.70
324.98,-431.49,165.68,106.12,13.63,-14.73
324.80,-431.26,165.73,106.17,13.64,-14.76
324.62,-431.03,165.78,106.21,13.66,-14.80
324.44,-430.80,165.83,106.25,13.67,-14.83
324.25,-430.57,165.88,106.30,13.69,-14.87
324.07,-430.34,165.93,106.34,13.71,-14.90
323.89,-430.11,165.98,106.38,13.72,-14.93
323.71,-429.88,166.03,106.43,13.74,-14.97
323.53,-429.65,166.08,106.47,13.75,-15.00
323.35,-429.42,166.13,106.51,13.77,-15.03
323.17,-429.19,166.17,106.56,13.78,-15.07
322.98,-428.98,166.24,106.60,13.80,-15.10
322.79,-428.77,166.30,106.64,13.81,-15.13
322.59,-428.56,166.36,106.68,13.82,-15.15
322.40,-428.35,166.42,106.72,13.84,-15.18
322.21,-428.14,166.49,106.76,13.85,-15.21
322.01,-427.93,166.55,106.80,13.87,-15.24
321.82,-427.72,166.61,106.84,13.88,-15.27
321.63,-427.51,166.67,106.89,13.90,-15.30
321.44,-427.30,166.74,106.93,13.91,-15.33
321.24,-427.09,166.80,106.97,13.92,-15.35
321.05,-426.88,166.86,107.01,13.94,-15.38
320.86,-426.67,166.92,107.05,13.95,-15.41
320.66,-426.47,166.99,107.09,13.97,-15.44
320.47,-426.26,167.05,107.13,13.98,-15.47
320.28,-426.05,167.11,107.17,13.99,-15.50
320.08,-425.84,167.17,107.21,14.01,-15.53
319.89,-425.63,167.24,107.25,14.02,-15.56
319.70,-425.42,167.30,107.29,14.04,-15.58
319.51,-425.21,167.36,107.33,14.05,-15.61
319.31,-425.00,167.42,107.38,14.06,-15.64
319.12,-424.79,167.49,107.42,14.08,-15.67
318.93,-424.58,167.55,107.46,14.09,-15.70
318.73,-424.37,167.61,107.50,14.11,-15.73
318.54,-424.16,167.67,107.54,14.12,-15.76
318.35,-423.95,167.74,107.58,14.14,-15.79
318.13,-423.76,167.82,107.62,14.15,-15.81
317.92,-423.57,167.90,107.66,14.16,-15.83
317.70,-423.38,167.98,107.70,14.18,-15.86
317.49,-423.18,168.06,107.74,14.19,-15.88
317.27,-422.99,168.15,107.77,14.20,-15.90
317.06,-422.80,168.23,107.81,14.22,-15.93
316.85,-422.61,168.31,107.85,14.23,-15.95
316.63,-422.41,168.39,107.89,14.24,-15.97
316.42,-422.22,168.48,107.93,14.26,-16.00
316.20,-422.03,168.56,107.97,14.27,-16.02
315.99,-421.84,168.64,108.01,14.28,-16.05
315.77,-421.64,168.72,108.05,14.30,-16.07
315.56,-421.45,168.81,108.09,14.31,-16.09
315.34,-421.26,168.89,108.12,14.32,-16.12
315.13,-421.07,168.97,108.16,14.34,-16.14
314.91,-420.87,169.05,108.20,14.35,-16.16
314.70,-420.68,169.14,108.24,14.36,-16.19
314.49,-420.49,169.22,108.28,14.38,-16.21
314.27,-420.30,169.30,108.32,14.39,-16.23
314.06,-420.10,169.38,108.36,14.40,-16.26
313.84,-419.91,169.46,108.40,14.42,-16.28
313.63,-419.72,169.55,108.44,14.43,-16.31
313.41,-419.53,169.63,108.47,14.44,-16.33
313.20,-419.33,169.71,108.51,14.46,-16.35
312.97,-419.17,169.81,108.55,14.47,-16.37
312.74,-419.00,169.92,108.58,14.48,-16.39
312.51,-418.84,170.02,108.62,14.49,-16.40
312.29,-418.68,170.12,108.65,14.50,-16.42
312.06,-418.51,170.23,108.68,14.52,-16.44
311.83,-418.35,170.33,108.72,14.53,-16.45
311.60,-418.19,170.43,108.75,14.54,-16.47
311.37,-418.02,170.53,108.79,14.55,-16.49
311.14,-417.86,170.64,108.82,14.56,-16.50
310.92,-417.69,170.74,108.86,14.58,-16.52
310.69,-417.53,170.84,108.89,14.59,-16.54
310.46,-417.37,170.94,108.92,14.60,-16.55
310.23,-417.20,171.05,108.96,14.61,-16.57
310.00,-417.04,171.15,108.99,14.62,-16.59
309.78,-416.87,171.25,109.03,14.63,-16.60
309.55,-416.71,171.35,109.06,14.65,-16.62
309.32,-416.55,171.46,109.10,14.66,-16.63
309.09,-416.38,171.56,109.13,14.67,-16.65
308.86,-416.22,171.66,109.16,14.68,-16.67
308.63,-416.05,171.77,109.20,14.69,-16.68
308.41,-415.89,171.87,109.23,14.71,-16.70
308.18,-415.73,171.97,109.27,14.72,-16.72
307.95,-415.56,172.07,109.30,14.73,-16.73
307.72,-415.40,172.18,109.34,14.74,-16.75
307.49,-415.27,172.29,109.36,14.75,-16.76
307.26,-415.14,172.41,109.39,14.76,-16.77
307.03,-415.01,172.52,109.42,14.77,-16.78
306.80,-414.88,172.64,109.45,14.78,-16.79
306.57,-414.75,172.76,109.48,14.79,-16.80
306.34,-414.62,172.87,109.51,14.80,-16.81
306.11,-414.49,172.99,109.54,14.81,-16.82
305.88,-414.36,173.10,109.56,14.82,-16.83
305.64,-414.23,173.22,109.59,14.83,-16.83
305.41,-414.10,173.33,109.62,14.84,-16.84
305.18,-413.97,173.45,109.65,14.85,-16.85
304.95,-413.84,173.57,109.68,14.86,-16.86
304.72,-413.71,173.68,109.71,14.87,-16.87
304.49,-413.58,173.80,109.74,14.88,-16.88
304.26,-413.46,173.91,109.77,14.89,-16.89
304.03,-413.33,174.03,109.79,14.90,-16.90
303.80,-413.20,174.15,109.82,14.91,-16.91
303.57,-413.07,174.26,109.85,14.92,-16.92
303.34,-412.94,174.38,109.88,14.93,-16.93
303.11,-412.81,174.49,109.91,14.94,-16.94
302.87,-412.68,174.61,109.94,14.95,-16.95
302.64,-412.55,174.73,109.97,14.96,-16.96
302.41,-412.42,174.84,109.99,14.97,-16.96
302.18,-412.29,174.96,110.02,14.98,-16.97
301.95,-412.16,175.07,110.05,14.99,-16.98
301.71,-412.06,175.20,110.08,15.00,-16.99
301.47,-411.96,175.33,110.10,15.01,-16.99
301.23,-411.85,175.46,110.13,15.02,-16.99
300.99,-411.75,175.59,110.15,15.03,-17.00
300.75,-411.65,175.72,110.18,15.04,-17.00
300.51,-411.55,175.85,110.20,15.05,-17.00
300.27,-411.44,175.97,110.23,15.06,-17.01
300.02,-411.34,176.10,110.25,15.07,-17.01
299.78,-411.24,176.23,110.28,15.08,-17.01
299.54,-411.14,176.36,110.30,15.09,-17.02
299.30,-411.04,176.49,110.33,15.09,-17.02
299.06,-410.93,176.62,110.35,15.10,-17.02
298.82,-410.83,176.75,110.38,15.11,-17.03
298.58,-410.73,176.87,110.40,15.12,-17.03
298.34,-410.63,177.00,110.43,15.13,-17.03
298.10,-410.52,177.13,110.45,15.14,-17.04
297.86,-410.42,177.26,110.48,15.15,-17.04
297.62,-410.32,177.39,110.50,15.16,-17.04
297.38,-410.22,177.52,110.53,15.17,-17.05
297.14,-410.12,177.65,110.55,15.18,-17.05
296.89,-410.01,177.78,110.58,15.19,-17.05
296.65,-409.91,177.90,110.60,15.19,-17.06
296.41,-409.81,178.03,110.63,15.20,-17.06
296.17,-409.71,178.16,110.65,15.21,-17.06
295.93,-409.60,178.29,110.68,15.22,-17.07
295.68,-409.53,178.43,110.70,15.23,-17.06
295.43,-409.45,178.56,110.72,15.24,-17.06
295.19,-409.38,178.70,110.74,15.25,-17.06
294.94,-409.30,178.84,110.76,15.26,-17.06
294.69,-409.22,178.97,110.79,15.26,-17.05
294.44,-409.15,179.11,110.81,15.27,-17.05
294.19,-409.07,179.25,110.83,15.28,-17.05
293.94,-409.00,179.39,110.85,15.29,-17.05
293.69,-408.92,179.52,110.87,15.30,-17.05
293.44,-408.85,179.66,110.90,15.31,-17.04
293.20,-408.77,179.80,110.92,15.31,-17.04
292.95,-408.69,179.93,110.94,15.32,-17.04
292.70,-408.62,180.07,110.96,15.33,-17.04
292.45,-408.54,180.21,110.98,15.34,-17.04
292.20,-408.47,180.34,111.01,15.35,-17.03
291.95,-408.39,180.48,111.03,15.36,-17.03
291.70,-408.32,180.62,111.05,15.36,-17.03
291.45,-408.24,180.76,111.07,15.37,-17.03
291.21,-408.16,180.89,111.10,15.38,-17.02
290.96,-408.09,181.03,111.12,15.39,-17.02
290.71,-408.01,181.17,111.14,15.40,-17.02
290.46,-407.94,181.30,111.16,15.41,-17.02
290.21,-407.86,181.44,111.18,15.41,-17.02
289.96,-407.78,181.58,111.21,15.42,-17.01
289.71,-407.71,181.71,111.23,15.43,-17.01
289.46,-407.66,181.85,111.25,15.44,-17.01
289.20,-407.61,181.99,111.27,15.45,-17.00
288.95,-407.56,182.14,111.29,15.45,-16.99
288.69,-407.51,182.28,111.31,15.46,-16.98
288.44,-407.46,182.42,111.33,15.47,-16.98
288.18,-407.41,182.56,111.35,15.48,-16.97
287.93,-407.36,182.70,111.37,15.49,-16.96
287.67,-407.31,182.84,111.39,15.49,-16.96
287.42,-407.26,182.98,111.41,15.50,-16.95
287.17,-407.21,183.12,111.42,15.51,-16.94
286.91,-407.16,183.26,111.44,15.52,-16.94
286.66,-407.11,183.40,111.46,15.52,-16.93
286.40,-407.06,183.54,111.48,15.53,-16.92
286.15,-407.01,183.68,111.50,15.54,-16.92
285.89,-406.96,183.82,111.52,15.55,-16.91
285.64,-406.91,183.96,111.54,15.56,-16.90
285.38,-406.86,184.10,111.56,15.56,-16.90
285.13,-406.81,184.25,111.58,15.57,-16.89
284.87,-406.76,184.39,111.60,15.58,-16.88
284.62,-406.71,184.53,111.62,15.59,-16.87
284.36,-406.66,184.67,111.64,15.59,-16.87
284.11,-406.61,184.81,111.66,15.60,-16.86
283.85,-406.56,184.95,111.68,15.61,-16.85
283.60,-406.51,185.09,111.70,15.62,-16.85
283.34,-406.46,185.23,111.72,15.63,-16.84
283.08,-406.43,185.37,111.74,15.63,-16.83
282.83,-406.41,185.51,111.76,15.64,-16.82
282.57,-406.38,185.65,111.78,15.65,-16.81
282.31,-406.36,185.79,111.79,15.66,-16.80
282.05,-406.33,185.93,111.81,15.66,-16.79
281.79,-406.31,186.07,111.83,15.67,-16.77
281.53,-406.28,186.21,111.85,15.68,-16.76
281.27,-406.26,186.35,111.87,15.69,-16.75
281.01,-406.23,186.49,111.88,15.69,-16.74
280.75,-406.21,186.63,111.90,15.70,-16.73
280.49,-406.18,186.77,111.92,15.71,-16.72
280.24,-406.16,186.91,111.94,15.72,-16.71
279.98,-406.13,187.05,111.96,15.73,-16.70
279.72,-406.11,187.19,111.97,15.73,-16.69
279.46,-406.08,187.33,111.99,15.74,-16.68
279.20,-406.06,187.47,112.01,15.75,-16.66
278.94,-406.03,187.61,112.03,15.76,-16.65
278.68,-406.01,187.75,112.05,15.76,-16.64
278.42,-405.98,187.89,112.06,15.77,-16.63
278.16,-405.96,188.02,112.08,15.78,-16.62
277.91,-405.93,188.16,112.10,15.79,-16.61
277.65,-405.91,188.30,112.12,15.79,-16.60
277.39,-405.88,188.44,112.14,15.80,-16.59
277.13,-405.86,188.58,112.16,15.81,-16.58
276.87,-405.83,188.72,112.17,15.82,-16.57
276.61,-405.83,188.86,112.19,15.82,-16.55
276.35,-405.83,188.99,112.21,15.83,-16.54
276.09,-405.83,189.13,112.22,15.84,-16.52
275.83,-405.83,189.26,112.24,15.85,-16.51
275.56,-405.83,189.40,112.26,15.85,-16.49
275.30,-405.83,189.53,112.28,15.86,-16.48
275.04,-405.82,189.66,112.29,15.87,-16.46
274.78,-405.82,189.80,112.31,15.88,-16.45
274.52,-405.82,189.93,112.33,15.89,-16.43
274.26,-405.82,190.07,112.34,15.89,-16.42
274.00,-405.82,190.20,112.36,15.90,-16.41
273.74,-405.82,190.34,112.38,15.91,-16.39
273.48,-405.82,190.47,112.40,15.92,-16.38
273.21,-405.82,190.60,112.41,15.92,-16.36
272.95,-405.82,190.74,112.43,15.93,-16.35
272.69,-405.82,190.87,112.45,15.94,-16.33
272.43,-405.82,191.01,112.46,15.95,-16.32
272.17,-405.82,191.14,112.48,15.95,-16.30
271.91,-405.81,191.28,112.50,15.96,-16.29
271.65,-405.81,191.41,112.52,15.97,-16.28
271.39,-405.81,191.55,112.53,15.98,-16.26
271.12,-405.81,191.68,112.55,15.98,-16.25
270.86,-405.81,191.81,112.57,15.99,-16.23
270.60,-405.81,191.95,112.58,16.00,-16.22
270.34,-405.81,192.08,112.60,16.01,-16.20
270.08,-405.83,192.21,112.62,16.02,-16.19
269.82,-405.85,192.33,112.63,16.02,-16.17
269.56,-405.88,192.46,112.65,16.03,-16.15
269.30,-405.90,192.58,112.67,16.04,-16.13
269.03,-405.92,192.70,112.69,16.05,-16.12
268.77,-405.95,192.83,112.70,16.06,-16.10
268.51,-405.97,192.95,112.72,16.06,-16.08
268.25,-405.99,193.08,112.74,16.07,-16.06
267.99,-406.01,193.20,112.75,16.08,-16.05
267.73,-406.04,193.33,112.77,16.09,-16.03
267.47,-406.06,193.45,112.79,16.10,-16.01
267.20,-406.08,193.58,112.80,16.10,-15.99
266.94,-406.10,193.70,112.82,16.11,-15.98
266.68,-406.13,193.82,112.84,16.12,-15.96
266.42,-406.15,193.95,112.85,16.13,-15.94
266.16,-406.17,194.07,112.87,16.14,-15.92
265.90,-406.20,194.20,112.89,16.14,-15.91
265.64,-406.22,194.32,112.90,16.15,-15.89
265.37,-406.24,194.45,112.92,16.16,-15.87
265.11,-406.26,194.57,112.94,16.17,-15.85
264.85,-406.29,194.69,112.95,16.17,-15.84
264.59,-406.31,194.82,112.97,16.18,-15.82
264.33,-406.33,194.94,112.99,16.19,-15.80
264.07,-406.35,195.07,113.00,16.20,-15.79
263.81,-406.38,195.19,113.02,16.21,-15.77
263.54,-406.42,195.31,113.04,16.22,-15.75
263.26,-406.47,195.42,113.06,16.22,-15.73
262.99,-406.52,195.54,113.08,16.23,-15.71
262.72,-406.57,195.65,113.09,16.24,-15.69
262.45,-406.61,195.76,113.11,16.25,-15.67
262.18,-406.66,195.88,113.13,16.26,-15.65
261.91,-406.71,195.99,113.15,16.27,-15.62
261.64,-406.76,196.11,113.16,16.28,-15.60
261.37,-406.80,196.22,113.18,16.29,-15.58
261.10,-406.85,196.34,113.20,16.30,-15.56
260.83,-406.90,196.45,113.22,16.30,-15.54
260.56,-406.95,196.57,113.24,16.31,-15.52
260.29,-406.99,196.68,113.25,16.32,-15.50
260.02,-407.04,196.79,113.27,16.33,-15.48
259.75,-407.09,196.91,113.29,16.34,-15.46
259.48,-407.14,197.02,113.31,16.35,-15.44
259.21,-407.18,197.14,113.33,16.36,-15.42
258.94,-407.23,197.25,113.34,16.37,-15.40
258.66,-407.28,197.37,113.36,16.38,-15.38
258.39,-407.32,197.48,113.38,16.38,-15.36
258.12,-407.37,197.60,113.40,16.39,-15.34
257.85,-407.42,197.71,113.41,16.40,-15.32
257.58,-407.47,197.82,113.43,16.41,-15.30
257.31,-407.51,197.94,113.45,16.42,-15.28
257.04,-407.58,198.03,113.47,16.43,-15.25
256.78,-407.66,198.13,113.49,16.44,-15.23
256.51,-407.73,198.22,113.51,16.45,-15.21
256.24,-407.80,198.32,113.53,16.46,-15.19
255.98,-407.87,198.41,113.54,16.47,-15.17
255.71,-407.94,198.51,113.56,16.48,-15.14
255.44,-408.01,198.60,113.58,16.49,-15.12
255.18,-408.08,198.69,113.60,16.50,-15.10
254.91,-408.15,198.79,113.62,16.51,-15.08
254.64,-408.22,198.88,113.64,16.52,-15.06
254.38,-408.29,198.98,113.66,16.53,-15.03
254.11,-408.36,199.07,113.68,16.54,-15.01
253.84,-408.43,199.17,113.70,16.55,-14.99
253.58,-408.50,199.26,113.72,16.56,-14.97
253.31,-408.57,199.36,113.73,16.57,-14.94
253.04,-408.64,199.45,113.75,16.58,-14.92
252.77,-408.71,199.55,113.77,16.59,-14.90
252.51,-408.78,199.64,113.79,16.60,-14.88
252.24,-408.85,199.73,113.81,16.61,-14.86
251.97,-408.92,199.83,113.83,16.62,-14.83
251.71,-408.99,199.92,113.85,16.63,-14.81
251.44,-409.06,200.02,113.87,16.64,-14.79
251.17,-409.13,200.11,113.89,16.65,-14.77
250.91,-409.20,200.21,113.90,16.65,-14.75
250.63,-409.30,200.28,113.93,16.67,-14.72
250.36,-409.40,200.35,113.95,16.68,-14.70
250.09,-409.49,200.43,113.97,16.69,-14.67
249.82,-409.59,200.50,113.99,16.70,-14.65
249.54,-409.69,200.57,114.01,16.71,-14.62
249.27,-409.78,200.65,114.03,16.72,-14.60
249.00,-409.88,200.72,114.06,16.73,-14.58
248.73,-409.98,200.79,114.08,16.75,-14.55
248.45,-410.07,200.86,114.10,16.76,-14.53
248.18,-410.17,200.94,114.12,16.77,-14.50
247.91,-410.27,201.01,114.14,16.78,-14.48
247.64,-410.36,201.08,114.16,16.79,-14.46
247.36,-410.46,201.16,114.18,16.80,-14.43
247.09,-410.55,201.23,114.21,16.81,-14.41
246.82,-410.65,201.30,114.23,16.83,-14.38
246.55,-410.75,201.38,114.25,16.84,-14.36
246.27,-410.84,201.45,114.27,16.85,-14.33
246.00,-410.94,201.52,114.29,16.86,-14.31
245.73,-411.04,201.59,114.31,16.87,-14.29
245.46,-411.13,201.67,114.34,16.88,-14.26
245.18,-411.23,201.74,114.36,16.89,-14.24
244.91,-411.33,201.81,114.38,16.91,-14.21
244.64,-411.42,201.89,114.40,16.92,-14.19
244.37,-411.54,201.93,114.42,16.93,-14.16
244.11,-411.66,201.97,114.45,16.94,-14.14
243.85,-411.78,202.01,114.47,16.96,-14.12
243.58,-411.90,202.06,114.50,16.97,-14.09
243.32,-412.02,202.10,114.52,16.98,-14.07
243.05,-412.14,202.14,114.54,16.99,-14.04
242.79,-412.26,202.18,114.57,17.01,-14.02
242.52,-412.38,202.22,114.59,17.02,-13.99
242.26,-412.49,202.27,114.62,17.03,-13.97
241.99,-412.61,202.31,114.64,17.05,-13.94
241.73,-412.73,202.35,114.66,17.06,-13.92
241.47,-412.85,202.39,114.69,17.07,-13.89
241.20,-412.97,202.44,114.71,17.08,-13.87
240.94,-413.09,202.48,114.74,17.10,-13.84
240.67,-413.21,202.52,114.76,17.11,-13.82
240.41,-413.33,202.56,114.79,17.12,-13.80
240.14,-413.45,202.61,114.81,17.14,-13.77
239.88,-413.57,202.65,114.83,17.15,-13.75
239.61,-413.68,202.69,114.86,17.16,-13.72
239.35,-413.80,202.73,114.88,17.18,-13.70
239.09,-413.92,202.77,114.91,17.19,-13.67
238.82,-414.04,202.82,114.93,17.20,-13.65
238.56,-414.16,202.86,114.95,17.21,-13.62
238.30,-414.30,202.87,114.98,17.23,-13.60
238.05,-414.44,202.87,115.01,17.24,-13.57
237.79,-414.58,202.88,115.04,17.26,-13.55
237.54,-414.72,202.89,115.06,17.27,-13.53
237.28,-414.86,202.89,115.09,17.29,-13.50
237.03,-415.00,202.90,115.12,17.30,-13.48
236.78,-415.14,202.91,115.15,17.32,-13.45
236.52,-415.28,202.91,115.17,17.33,-13.43
236.27,-415.42,202.92,115.20,17.35,-13.40
236.01,-415.56,202.93,115.23,17.36,-13.38
235.76,-415.71,202.93,115.25,17.38,-13.36
235.50,-415.85,202.94,115.28,17.39,-13.33
235.25,-415.99,202.95,115.31,17.40,-13.31
235.00,-416.13,202.95,115.34,17.42,-13.28
234.74,-416.27,202.96,115.36,17.43,-13.26
234.49,-416.41,202.97,115.39,17.45,-13.23
234.23,-416.55,202.97,115.42,17.46,-13.21
233.98,-416.69,202.98,115.45,17.48,-13.19
233.72,-416.83,202.99,115.47,17.49,-13.16
233.47,-416.97,202.99,115.50,17.51,-13.14
233.22,-417.11,203.00,115.53,17.52,-13.11
232.96,-417.25,203.01,115.56,17.54,-13.09
232.71,-417.39,203.01,115.58,17.55,-13.06
232.46,-417.55,202.98,115.61,17.57,-13.04
232.22,-417.71,202.95,115.65,17.59,-13.02
231.98,-417.88,202.91,115.68,17.60,-12.99
231.74,-418.04,202.88,115.71,17.62,-12.97
231.50,-418.20,202.84,115.74,17.64,-12.95
231.25,-418.36,202.81,115.77,17.65,-12.92
231.01,-418.52,202.78,115.80,17.67,-12.90
230.77,-418.68,202.74,115.83,17.69,-12.88
230.53,-418.84,202.71,115.86,17.70,-12.85
230.29,-419.00,202.68,115.90,17.72,-12.83
230.04,-419.17,202.64,115.93,17.74,-12.81
229.80,-419.33,202.61,115.96,17.75,-12.78
229.56,-419.49,202.57,115.99,17.77,-12.76
229.32,-419.65,202.54,116.02,17.79,-12.74
229.08,-419.81,202.51,116.05,17.80,-12.71
228.83,-419.97,202.47,116.08,17.82,-12.69
228.59,-420.13,202.44,116.11,17.84,-12.67
228.35,-420.29,202.41,116.15,17.85,-12.64
228.11,-420.46,202.37,116.18,17.87,-12.62
227.87,-420.62,202.34,116.21,17.89,-12.60
227.62,-420.78,202.30,116.24,17.90,-12.57
227.38,-420.94,202.27,116.27,17.92,-12.55
227.14,-421.10,202.24,116.30,17.94,-12.53
