X,Y,Z,RX,RY,RZ
361.52,-529.92,92.22,98.84,4.68,-5.83
361.53,-529.98,92.33,98.89,4.69,-5.80
361.55,-530.04,92.44,98.94,4.70,-5.77
361.56,-530.11,92.55,98.99,4.71,-5.75
361.58,-530.17,92.67,99.04,4.72,-5.72
361.59,-530.24,92.78,99.09,4.73,-5.69
361.60,-530.30,92.89,99.14,4.74,-5.66
361.62,-530.37,93.00,99.19,4.75,-5.64
361.63,-530.43,93.11,99.24,4.76,-5.61
361.65,-530.50,93.23,99.29,4.77,-5.58
361.66,-530.56,93.34,99.34,4.78,-5.55
361.67,-530.63,93.45,99.39,4.79,-5.53
361.69,-530.69,93.56,99.44,4.80,-5.50
361.70,-530.75,93.67,99.49,4.81,-5.47
361.72,-530.82,93.79,99.54,4.82,-5.45
361.73,-530.88,93.90,99.59,4.83,-5.42
361.75,-530.95,94.01,99.64,4.84,-5.39
361.76,-531.01,94.12,99.69,4.85,-5.36
361.77,-531.08,94.23,99.74,4.86,-5.34
361.79,-531.14,94.35,99.79,4.87,-5.31
361.80,-531.21,94.46,99.84,4.88,-5.28
361.82,-531.27,94.57,99.89,4.89,-5.25
361.83,-531.33,94.68,99.94,4.90,-5.23
361.85,-531.40,94.79,99.99,4.91,-5.20
361.86,-531.46,94.91,100.04,4.92,-5.17
361.87,-531.53,95.02,100.09,4.93,-5.14
361.89,-531.59,95.13,100.14,4.94,-5.12
361.90,-531.66,95.24,100.19,4.95,-5.09
361.92,-531.72,95.35,100.24,4.96,-5.06
361.93,-531.79,95.47,100.29,4.97,-5.03
361.94,-531.85,95.58,100.34,4.98,-5.01
361.96,-531.92,95.69,100.39,4.99,-4.98
361.97,-531.98,95.80,100.44,5.00,-4.95
361.99,-532.04,95.91,100.49,5.01,-4.92
362.00,-532.11,96.03,100.54,5.02,-4.90
362.02,-532.17,96.14,100.59,5.03,-4.87
362.03,-532.24,96.25,100.64,5.04,-4.84
362.04,-532.30,96.36,100.69,5.05,-4.81
362.06,-532.37,96.47,100.74,5.06,-4.79
362.07,-532.43,96.59,100.79,5.07,-4.76
362.09,-532.50,96.70,100.84,5.08,-4.73
362.10,-532.56,96.81,100.89,5.09,-4.70
362.11,-532.62,96.92,100.94,5.10,-4.68
362.13,-532.69,97.03,100.99,5.11,-4.65
362.14,-532.75,97.15,101.04,5.12,-4.62
362.16,-532.82,97.26,101.09,5.13,-4.59
362.17,-532.87,97.54,101.11,5.15,-4.55
362.19,-532.92,97.83,101.14,5.16,-4.50
362.21,-532.97,98.12,101.17,5.18,-4.46
362.22,-533.02,98.40,101.19,5.20,-4.41
362.24,-533.07,98.69,101.22,5.21,-4.37
362.25,-533.12,98.98,101.25,5.23,-4.32
362.27,-533.16,99.26,101.27,5.25,-4.28
362.29,-533.21,99.55,101.30,5.27,-4.23
362.30,-533.26,99.84,101.33,5.28,-4.19
362.32,-533.31,100.12,101.36,5.30,-4.14
362.33,-533.36,100.41,101.38,5.32,-4.10
362.35,-533.41,100.70,101.41,5.33,-4.05
362.37,-533.46,100.98,101.44,5.35,-4.01
362.38,-533.51,101.27,101.46,5.37,-3.96
362.40,-533.56,101.56,101.49,5.38,-3.91
362.41,-533.61,101.84,101.52,5.40,-3.87
362.43,-533.66,102.13,101.54,5.42,-3.82
362.45,-533.71,102.42,101.57,5.44,-3.78
362.46,-533.76,102.70,101.60,5.45,-3.73
362.48,-533.81,102.99,101.63,5.47,-3.69
362.49,-533.86,103.28,101.65,5.49,-3.64
362.51,-533.91,103.56,101.68,5.50,-3.60
362.53,-533.96,103.85,101.71,5.52,-3.55
362.54,-534.01,104.14,101.73,5.54,-3.51
362.56,-534.06,104.42,101.76,5.55,-3.46
362.57,-534.11,104.71,101.79,5.57,-3.42
362.58,-534.09,105.00,101.77,5.59,-3.39
362.58,-534.07,105.29,101.74,5.60,-3.36
362.58,-534.05,105.58,101.72,5.61,-3.33
362.59,-534.03,105.87,101.70,5.62,-3.30
362.59,-534.01,106.17,101.68,5.64,-3.27
362.59,-533.99,106.46,101.65,5.65,-3.24
362.60,-533.97,106.75,101.63,5.66,-3.21
362.60,-533.96,107.04,101.61,5.68,-3.18
362.61,-533.94,107.33,101.59,5.69,-3.15
362.61,-533.92,107.62,101.56,5.70,-3.12
362.61,-533.90,107.91,101.54,5.72,-3.09
362.62,-533.88,108.20,101.52,5.73,-3.06
362.62,-533.86,108.50,101.50,5.74,-3.03
362.62,-533.84,108.79,101.48,5.76,-3.01
362.63,-533.82,109.08,101.45,5.77,-2.98
362.63,-533.81,109.37,101.43,5.78,-2.95
362.63,-533.79,109.66,101.41,5.80,-2.92
362.64,-533.77,109.95,101.39,5.81,-2.89
362.64,-533.75,110.24,101.36,5.82,-2.86
362.64,-533.73,110.54,101.34,5.84,-2.83
362.65,-533.71,110.83,101.32,5.85,-2.80
362.65,-533.69,111.12,101.30,5.86,-2.77
362.65,-533.67,111.41,101.28,5.88,-2.74
362.66,-533.66,111.70,101.25,5.89,-2.71
362.66,-533.64,111.99,101.23,5.90,-2.68
362.66,-533.62,112.28,101.21,5.92,-2.65
362.67,-533.60,112.57,101.19,5.93,-2.62
362.67,-533.58,112.87,101.16,5.94,-2.60
362.67,-533.51,113.16,101.12,5.96,-2.58
362.66,-533.44,113.45,101.07,5.97,-2.56
362.65,-533.37,113.74,101.03,5.98,-2.54
362.65,-533.30,114.03,100.98,5.99,-2.52
362.64,-533.23,114.32,100.93,6.01,-2.51
362.63,-533.16,114.61,100.89,6.02,-2.49
362.63,-533.09,114.91,100.84,6.03,-2.47
362.62,-533.02,115.20,100.80,6.04,-2.45
362.62,-532.95,115.49,100.75,6.05,-2.43
362.61,-532.89,115.78,100.71,6.07,-2.42
362.60,-532.82,116.07,100.66,6.08,-2.40
362.60,-532.75,116.36,100.61,6.09,-2.38
362.59,-532.68,116.65,100.57,6.10,-2.36
362.58,-532.61,116.94,100.52,6.12,-2.34
362.58,-532.54,117.24,100.48,6.13,-2.33
362.57,-532.47,117.53,100.43,6.14,-2.31
362.57,-532.40,117.82,100.38,6.15,-2.29
362.56,-532.33,118.11,100.34,6.16,-2.27
362.55,-532.26,118.40,100.29,6.18,-2.25
362.55,-532.19,118.69,100.25,6.19,-2.24
362.54,-532.12,118.98,100.20,6.20,-2.22
362.54,-532.05,119.28,100.16,6.21,-2.20
362.53,-531.98,119.57,100.11,6.23,-2.18
362.52,-531.91,119.86,100.06,6.24,-2.16
362.52,-531.84,120.15,100.02,6.25,-2.15
362.51,-531.77,120.44,99.97,6.26,-2.13
362.50,-531.70,120.73,99.93,6.27,-2.11
362.50,-531.63,121.02,99.88,6.29,-2.09
362.48,-531.52,121.30,99.83,6.30,-2.08
362.47,-531.41,121.58,99.78,6.31,-2.07
362.45,-531.30,121.85,99.74,6.33,-2.07
362.44,-531.19,122.13,99.69,6.34,-2.06
362.42,-531.08,122.41,99.64,6.35,-2.05
362.41,-530.97,122.68,99.59,6.37,-2.04
362.39,-530.86,122.96,99.55,6.38,-2.03
362.38,-530.75,123.24,99.50,6.39,-2.02
362.36,-530.64,123.51,99.45,6.40,-2.01
362.35,-530.53,123.79,99.40,6.42,-2.01
362.34,-530.42,124.07,99.35,6.43,-2.00
362.32,-530.31,124.34,99.31,6.44,-1.99
362.31,-530.20,124.62,99.26,6.46,-1.98
362.29,-530.09,124.90,99.21,6.47,-1.97
